,groupName,rank,rfPred,rfClassPred,svmPred
3,Shepherd,4,4.0,4,4.02530475167
4,Shepherd,4,4.0,4,3.93325249835
5,Shepherd,4,4.0,4,4.13722982434
8,Shepherd,4,4.0,4,4.46842590338
14,Shepherd,4,4.0,4,4.30272632362
15,Shepherd,4,4.01333333333,4,3.95743263176
20,Shepherd,4,4.11,4,4.05628479731
22,Shepherd,4,4.0,4,3.88050954063
29,Shepherd,4,4.02,4,4.37950083271
30,Shepherd,4,4.0,4,4.04368599019
31,Shepherd,4,3.94333333333,4,4.21165611872
33,Shepherd,4,4.12,4,4.26277623402
36,Shepherd,4,4.0,4,3.70515376022
44,Shepherd,4,4.19,4,4.06188673668
45,Shepherd,4,4.0,4,4.16591154067
49,Shepherd,4,4.0,4,3.98658240138
50,Shepherd,4,4.0,4,4.24681952484
56,Shepherd,4,4.27,4,4.61635450453
59,Shepherd,4,4.07333333333,4,4.21143149227
64,Shepherd,4,4.0,4,4.23012580491
71,Shepherd,4,4.0,4,4.07917111341
72,Shepherd,4,3.98,4,4.18410170241
73,DorothyDay,4,3.94666666667,4,3.89691741823
75,DorothyDay,4,4.1,4,3.86204169674
76,DorothyDay,4,4.0,4,4.09190571573
88,DorothyDay,4,4.91666666667,4,3.76356854669
89,DorothyDay,4,4.21,4,4.81542691098
90,DorothyDay,4,4.18333333333,4,4.21820177024
91,DorothyDay,4,3.87,4,3.9409194408
92,DorothyDay,4,4.18333333333,4,3.8112542579
93,DorothyDay,4,4.10333333333,4,4.51911192627
104,DorothyDay,4,3.39,4,3.74528879521
105,DorothyDay,4,4.01,4,3.84816476323
106,DorothyDay,4,4.35666666667,4,4.0131784071
116,DorothyDay,4,4.07,4,3.89078460615
117,DorothyDay,4,4.15333333333,4,4.45334134838
126,DorothyDay,4,4.08666666667,4,4.55103654809
127,DorothyDay,4,4.74,4,4.09791997778
128,DorothyDay,4,4.15666666667,4,4.02696960438
131,DorothyDay,4,5.18333333333,4,4.17041801126
132,DorothyDay,4,5.09333333333,4,4.043303935
133,DorothyDay,4,4.37666666667,4,4.2723711298
136,DorothyDay,4,4.41666666667,4,4.03405883598
142,DorothyDay,4,4.33666666667,4,3.98252859356
143,DorothyDay,4,3.99333333333,4,3.77499538628
144,DorothyDay,4,4.03333333333,4,4.00360810694
152,Unitarian,7,6.61,7,5.76021862515
155,Unitarian,7,6.73666666667,7,6.29931914822
161,Unitarian,7,4.09,7,6.39888985436
165,Unitarian,7,6.81333333333,7,6.80131119987
167,Unitarian,7,6.88,7,6.73868234608
170,Unitarian,7,6.66666666667,7,6.27826962627
174,Unitarian,7,6.31666666667,7,6.14534921976
177,Unitarian,7,6.51,7,6.60607380073
178,Unitarian,7,6.63333333333,7,7.35768298025
180,JohnPiper,4,3.84,4,3.9689288609
181,JohnPiper,4,4.01,4,3.82484581657
184,JohnPiper,4,4.01333333333,4,4.26840586798
191,JohnPiper,4,4.04666666667,4,4.2151433201
194,JohnPiper,4,4.53333333333,4,3.94885423967
199,JohnPiper,4,4.05666666667,4,3.8667467105
201,JohnPiper,4,4.05,4,4.47914085994
205,JohnPiper,4,4.06333333333,4,3.45108973402
207,JohnPiper,4,4.0,4,3.66355686299
209,JohnPiper,4,3.98,4,4.12815296642
211,JohnPiper,4,3.8,4,4.14167877842
215,JohnPiper,4,3.97333333333,4,3.94978284638
219,JohnPiper,4,4.04,4,4.24558935557
225,JohnPiper,4,4.0,4,3.9694850465
228,JohnPiper,4,4.0,4,4.51903124454
230,JohnPiper,4,4.0,4,3.96552023462
232,JohnPiper,4,4.52,4,3.8013988607
235,JohnPiper,4,4.0,4,3.85049865963
240,WBC,1,1.13,1,1.05754991541
241,WBC,1,1.13333333333,1,1.06045402353
244,WBC,1,1.08666666667,1,0.951823703567
246,WBC,1,1.20666666667,1,1.00032657451
249,WBC,1,1.00333333333,1,1.17948434714
253,WBC,1,1.00333333333,1,1.08284554844
254,WBC,1,1.1,1,1.15954667482
257,WBC,1,1.21333333333,1,1.35469662637
258,WBC,1,1.43666666667,1,1.30901578345
263,WBC,1,1.05,1,0.388256490847
269,WBC,1,1.06,1,0.326338217601
274,WBC,1,1.32333333333,1,0.6672562889
278,WBC,1,1.18666666667,1,1.00277162149
279,PastorAnderson,2,1.98666666667,2,1.98703981218
285,PastorAnderson,2,2.02,2,2.20142068537
288,PastorAnderson,2,2.11,2,2.07999990553
289,PastorAnderson,2,2.1,2,2.23959565226
293,PastorAnderson,2,2.02666666667,2,1.75051111279
297,PastorAnderson,2,2.20666666667,2,2.21042402994
300,PastorAnderson,2,2.27,2,2.52583626209
304,NaumanKhan,3,2.56333333333,2,3.25536139111
309,NaumanKhan,3,2.73333333333,3,3.03576566132
310,NaumanKhan,3,2.89333333333,3,3.64866056945
313,Rabbinic,6,6.05666666667,6,6.28728694582
317,Rabbinic,6,6.0,6,6.18233937491
320,Rabbinic,6,5.66,6,6.35717051306
321,Rabbinic,6,5.91,6,5.40845288701
322,Rabbinic,6,5.97,6,6.15426470814
325,Rabbinic,6,5.87,6,5.98394667244
328,MehrBaba,8,6.11333333333,8,8.28220115052
331,MehrBaba,8,7.36666666667,8,6.12697626046
334,MehrBaba,8,7.53,8,7.16418417491
336,MehrBaba,8,5.68333333333,8,6.57523891946
340,MehrBaba,8,7.88666666667,8,8.48807724656
343,MehrBaba,8,6.2,8,7.95806135292
345,MehrBaba,8,5.96333333333,8,7.57828650449
347,MehrBaba,8,7.97333333333,8,8.23241233843
351,MehrBaba,8,7.94333333333,8,7.27002899003
355,Ghandi,1,4.76,8,3.4476498237
